key,text
skill_building,Строительство
skill_trading,Торговля
skill_athletics,Атлетика
slot_head,Голова
slot_chest,Тело
slot_legs,Ноги
slot_feet,Ступни
slot_hands,Руки
slot_back,Спина
slot_accessory1,Аксессуар 1
slot_accessory2,Аксессуар 2
category_tools,Инструменты
category_weapons,Оружие
category_armor,Броня
category_consumables,Расходники
category_materials,Материалы
category_building,Строительство
category_food,Еда
category_medicine,Медицина
category_misc,Разное
tooltip_damage,Урон
tooltip_armor,Защита
tooltip_durability,Прочность
tooltip_weight,Вес
tooltip_value,Ценность
tooltip_required,Требуется
tooltip_ingredients,Ингредиенты
tooltip_craft_time,Время создания
save_slot,Слот сохранения
save_empty,Пустой слот
save_overwrite,Перезаписать сохранение?
save_delete,Удалить сохранение?
save_success,Игра сохранена
load_success,Игра загружена
autosave,Автосохранение
quicksave,Быстрое сохранение
quickload,Быстрая загрузка
pause_menu,Пауза
resume,Продолжить
main_menu,Главное меню
notification_info,Информация
notification_success,Успех
notification_warning,Внимание
notification_error,Ошибка
notification_xp,+{amount} опыта
notification_item,+{amount} {item}
notification_achievement,Достижение разблокировано!
press_to_interact,Нажмите E для взаимодействия
requires_tool,Требуется: {tool}
inventory_full,Инвентарь полон
not_enough_materials,Недостаточно материалов
crafting_started,Создание начато...
crafting_complete,Создание завершено!
building_placed,Постройка размещена
building_removed,Постройка удалена
cannot_place,Нельзя разместить здесь
time_morning,Утро
time_day,День
time_evening,Вечер
time_night,Ночь
day,День {day}
minimap,Миникарта
compass_n,С
compass_s,Ю
compass_e,В
compass_w,З
hotbar,Панель быстрого доступа
equipment,Снаряжение
stats,Статистика
skills,Навыки
perks,Перки
quests,Задания
journal,Журнал
map,Карта
search,Поиск
sort_name,По названию
sort_type,По типу
sort_weight,По весу
sort_value,По ценности
use_item,Использовать
drop_item,Выбросить
equip_item,Надеть
unequip_item,Снять
split_stack,Разделить стопку
